,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
28277,2018,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,,False,BRADLEY BYRNE,REPUBLICAN,False,TOTAL,153228,242617,False,20230706,False
28278,2018,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,,False,ROBERT KENNEDY JR,DEMOCRAT,False,TOTAL,89226,242617,False,20230706,False
28279,2018,ALABAMA,AL,1,63,41,US HOUSE,1,GEN,,False,WRITEIN,,True,TOTAL,163,242617,False,20230706,False
28280,2018,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,,False,MARTHA ROBY,REPUBLICAN,False,TOTAL,138879,226230,False,20230706,False
28281,2018,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,,False,TABITHA ISNER,DEMOCRAT,False,TOTAL,86931,226230,False,20230706,False
28282,2018,ALABAMA,AL,1,63,41,US HOUSE,2,GEN,,False,WRITEIN,,True,TOTAL,420,226230,False,20230706,False
28283,2018,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,,False,MALLORY HAGAN,DEMOCRAT,False,TOTAL,83996,231915,False,20230706,False
28284,2018,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,,False,MIKE ROGERS,REPUBLICAN,False,TOTAL,147770,231915,False,20230706,False
28285,2018,ALABAMA,AL,1,63,41,US HOUSE,3,GEN,,False,WRITEIN,,True,TOTAL,149,231915,False,20230706,False
28286,2018,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,,False,LEE AUMAN,DEMOCRAT,False,TOTAL,46492,230969,False,20230706,False
28287,2018,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,,False,ROBERT ADERHOLT,REPUBLICAN,False,TOTAL,184255,230969,False,20230706,False
28288,2018,ALABAMA,AL,1,63,41,US HOUSE,4,GEN,,False,WRITEIN,,True,TOTAL,222,230969,False,20230706,False
28289,2018,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,,False,MO BROOKS,REPUBLICAN,False,TOTAL,159063,260673,False,20230706,False
28290,2018,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,,False,PETER JOFFRION,DEMOCRAT,False,TOTAL,101388,260673,False,20230706,False
28291,2018,ALABAMA,AL,1,63,41,US HOUSE,5,GEN,,False,WRITEIN,,True,TOTAL,222,260673,False,20230706,False
28292,2018,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,,False,DANNER KLINE,DEMOCRAT,False,TOTAL,85644,278328,False,20230706,False
28293,2018,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,,False,GARY PALMER,REPUBLICAN,False,TOTAL,192542,278328,False,20230706,False
28294,2018,ALABAMA,AL,1,63,41,US HOUSE,6,GEN,,False,WRITEIN,,True,TOTAL,142,278328,False,20230706,False
28295,2018,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,,False,TERRI SEWELL,DEMOCRAT,False,TOTAL,185010,189163,False,20230706,False
28296,2018,ALABAMA,AL,1,63,41,US HOUSE,7,GEN,,False,WRITEIN,,True,TOTAL,4153,189163,False,20230706,False
28297,2018,ALASKA,AK,2,94,81,US HOUSE,0,GEN,,False,ALYSE S GALVIN,DEMOCRAT,False,TOTAL,131199,282166,False,20230706,False
28298,2018,ALASKA,AK,2,94,81,US HOUSE,0,GEN,,False,DON YOUNG,REPUBLICAN,False,TOTAL,149779,282166,False,20230706,False
28299,2018,ALASKA,AK,2,94,81,US HOUSE,0,GEN,,False,WRITEIN,,True,TOTAL,1188,282166,False,20230706,False
28300,2018,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,,False,TOM O'HALLERAN,DEMOCRAT,False,TOTAL,143240,266089,False,20230706,False
28301,2018,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,,False,WENDY ROGERS,REPUBLICAN,False,TOTAL,122784,266089,False,20230706,False
28302,2018,ARIZONA,AZ,4,86,61,US HOUSE,1,GEN,,False,WRITEIN,,True,TOTAL,65,266089,False,20230706,False
28303,2018,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,,False,ANN KIRKPATRICK,DEMOCRAT,False,TOTAL,161000,294152,False,20230706,False
28304,2018,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,,False,LEA MARQUEZ PETERSON,REPUBLICAN,False,TOTAL,133083,294152,False,20230706,False
28305,2018,ARIZONA,AZ,4,86,61,US HOUSE,2,GEN,,False,WRITEIN,,True,TOTAL,69,294152,False,20230706,False
28306,2018,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,,False,"NICOLAS ""NICK"" PIERSON",REPUBLICAN,False,TOTAL,64868,179518,False,20230706,False
28307,2018,ARIZONA,AZ,4,86,61,US HOUSE,3,GEN,,False,RAUL GRIJALVA,DEMOCRAT,False,TOTAL,114650,179518,False,20230706,False
28308,2018,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,,False,DAVID BRILL,DEMOCRAT,False,TOTAL,84521,277035,False,20230706,False
28309,2018,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,,False,HARYAKSHA GREGOR KNAUER,GREEN,False,TOTAL,3672,277035,False,20230706,False
28310,2018,ARIZONA,AZ,4,86,61,US HOUSE,4,GEN,,False,PAUL GOSAR,REPUBLICAN,False,TOTAL,188842,277035,False,20230706,False
28311,2018,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,,False,ANDY BIGGS,REPUBLICAN,False,TOTAL,186037,313064,False,20230706,False
28312,2018,ARIZONA,AZ,4,86,61,US HOUSE,5,GEN,,False,JOAN GREENE,DEMOCRAT,False,TOTAL,127027,313064,False,20230706,False
28313,2018,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,,False,ANITA MALIK,DEMOCRAT,False,TOTAL,140559,313699,False,20230706,False
28314,2018,ARIZONA,AZ,4,86,61,US HOUSE,6,GEN,,False,DAVID SCHWEIKERT,REPUBLICAN,False,TOTAL,173140,313699,False,20230706,False
28315,2018,ARIZONA,AZ,4,86,61,US HOUSE,7,GEN,,False,GARY SWING,GREEN,False,TOTAL,18706,132051,False,20230706,False
28316,2018,ARIZONA,AZ,4,86,61,US HOUSE,7,GEN,,False,RUBEN GALLEGO,DEMOCRAT,False,TOTAL,113044,132051,False,20230706,False
28317,2018,ARIZONA,AZ,4,86,61,US HOUSE,7,GEN,,False,WRITEIN,,True,TOTAL,301,132051,False,20230706,False
28318,2018,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,,False,DEBBIE LESKO,REPUBLICAN,False,TOTAL,168835,304417,False,20230706,False
28319,2018,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,,False,HIRAL TIPIRNENI,DEMOCRAT,False,TOTAL,135569,304417,False,20230706,False
28320,2018,ARIZONA,AZ,4,86,61,US HOUSE,8,GEN,,False,STEVEN HUMMEL,,True,TOTAL,13,304417,False,20230706,False
28321,2018,ARIZONA,AZ,4,86,61,US HOUSE,9,GEN,,False,GREG STANTON,DEMOCRAT,False,TOTAL,159583,261245,False,20230706,False
28322,2018,ARIZONA,AZ,4,86,61,US HOUSE,9,GEN,,False,STEPHEN L FERRARA,REPUBLICAN,False,TOTAL,101662,261245,False,20230706,False
28323,2018,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,,False,CHINTAN DESAI,DEMOCRAT,False,TOTAL,57907,201245,False,20230706,False
28324,2018,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,,False,ELVIS PRESLEY,LIBERTARIAN,False,TOTAL,4581,201245,False,20230706,False
28325,2018,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,,False,RICK CRAWFORD,REPUBLICAN,False,TOTAL,138757,201245,False,20230706,False
28326,2018,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,,False,CLARKE TUCKER,DEMOCRAT,False,TOTAL,116135,253453,False,20230706,False
28327,2018,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,,False,FRENCH HILL,REPUBLICAN,False,TOTAL,132125,253453,False,20230706,False
28328,2018,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,,False,JOE RYNE SWAFFORD,LIBERTARIAN,False,TOTAL,5193,253453,False,20230706,False
28329,2018,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,,False,JOSH MAHONY,DEMOCRAT,False,TOTAL,74952,229708,False,20230706,False
28330,2018,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,,False,MICHAEL J KALAGIAS,LIBERTARIAN,False,TOTAL,5899,229708,False,20230706,False
28331,2018,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,,False,STEVE WOMACK,REPUBLICAN,False,TOTAL,148717,229708,False,20230706,False
28332,2018,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,,False,WRITEIN,,True,TOTAL,140,229708,False,20230706,False
28333,2018,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,,False,BRUCE WESTERMAN,REPUBLICAN,False,TOTAL,136740,204892,False,20230706,False
28334,2018,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,,False,HAYDEN CATHERINE SHAMEL,DEMOCRAT,False,TOTAL,63984,204892,False,20230706,False
28335,2018,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,,False,TOM CANADA,LIBERTARIAN,False,TOTAL,3952,204892,False,20230706,False
28336,2018,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,,False,WRITEIN,,True,TOTAL,216,204892,False,20230706,False
28337,2018,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,,False,AUDREY DENNEY,DEMOCRAT,False,TOTAL,131548,291594,False,20230706,False
28338,2018,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,,False,DOUG LA MALFA,REPUBLICAN,False,TOTAL,160046,291594,False,20230706,False
28339,2018,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,,False,DALE K MENSING,REPUBLICAN,False,TOTAL,72576,315657,False,20230706,False
28340,2018,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,,False,JARED HUFFMAN,DEMOCRAT,False,TOTAL,243081,315657,False,20230706,False
