year,state,district,c1,c2,c1_party,c2_party,c1_votes,c2_votes,winner,winner_party
2018,ALABAMA,1,BRADLEY BYRNE,ROBERT KENNEDY JR,REPUBLICAN,DEMOCRAT,153228,89226.0,BRADLEY BYRNE,REPUBLICAN
2018,ALABAMA,2,MARTHA ROBY,TABITHA ISNER,REPUBLICAN,DEMOCRAT,138879,86931.0,MARTHA ROBY,REPUBLICAN
2018,ALABAMA,3,MIKE ROGERS,MALLORY HAGAN,REPUBLICAN,DEMOCRAT,147770,83996.0,MIKE ROGERS,REPUBLICAN
2018,ALABAMA,4,ROBERT ADERHOLT,LEE AUMAN,REPUBLICAN,DEMOCRAT,184255,46492.0,ROBERT ADERHOLT,REPUBLICAN
2018,ALABAMA,5,MO BROOKS,PETER JOFFRION,REPUBLICAN,DEMOCRAT,159063,101388.0,MO BROOKS,REPUBLICAN
2018,ALABAMA,6,GARY PALMER,DANNER KLINE,REPUBLICAN,DEMOCRAT,192542,85644.0,GARY PALMER,REPUBLICAN
2018,ALABAMA,7,TERRI SEWELL,WRITEIN,DEMOCRAT,,185010,4153.0,TERRI SEWELL,DEMOCRAT
2018,ALASKA,0,DON YOUNG,ALYSE S GALVIN,REPUBLICAN,DEMOCRAT,149779,131199.0,DON YOUNG,REPUBLICAN
2018,ARIZONA,1,TOM O'HALLERAN,WENDY ROGERS,DEMOCRAT,REPUBLICAN,143240,122784.0,TOM O'HALLERAN,DEMOCRAT
2018,ARIZONA,2,ANN KIRKPATRICK,LEA MARQUEZ PETERSON,DEMOCRAT,REPUBLICAN,161000,133083.0,ANN KIRKPATRICK,DEMOCRAT
2018,ARIZONA,3,RAUL GRIJALVA,"NICOLAS ""NICK"" PIERSON",DEMOCRAT,REPUBLICAN,114650,64868.0,RAUL GRIJALVA,DEMOCRAT
2018,ARIZONA,4,PAUL GOSAR,DAVID BRILL,REPUBLICAN,DEMOCRAT,188842,84521.0,PAUL GOSAR,REPUBLICAN
2018,ARIZONA,5,ANDY BIGGS,JOAN GREENE,REPUBLICAN,DEMOCRAT,186037,127027.0,ANDY BIGGS,REPUBLICAN
2018,ARIZONA,6,DAVID SCHWEIKERT,ANITA MALIK,REPUBLICAN,DEMOCRAT,173140,140559.0,DAVID SCHWEIKERT,REPUBLICAN
2018,ARIZONA,7,RUBEN GALLEGO,GARY SWING,DEMOCRAT,GREEN,113044,18706.0,RUBEN GALLEGO,DEMOCRAT
2018,ARIZONA,8,DEBBIE LESKO,HIRAL TIPIRNENI,REPUBLICAN,DEMOCRAT,168835,135569.0,DEBBIE LESKO,REPUBLICAN
2018,ARIZONA,9,GREG STANTON,STEPHEN L FERRARA,DEMOCRAT,REPUBLICAN,159583,101662.0,GREG STANTON,DEMOCRAT
2018,ARKANSAS,1,RICK CRAWFORD,CHINTAN DESAI,REPUBLICAN,DEMOCRAT,138757,57907.0,RICK CRAWFORD,REPUBLICAN
2018,ARKANSAS,2,FRENCH HILL,CLARKE TUCKER,REPUBLICAN,DEMOCRAT,132125,116135.0,FRENCH HILL,REPUBLICAN
2018,ARKANSAS,3,STEVE WOMACK,JOSH MAHONY,REPUBLICAN,DEMOCRAT,148717,74952.0,STEVE WOMACK,REPUBLICAN
2018,ARKANSAS,4,BRUCE WESTERMAN,HAYDEN CATHERINE SHAMEL,REPUBLICAN,DEMOCRAT,136740,63984.0,BRUCE WESTERMAN,REPUBLICAN
2018,CALIFORNIA,1,DOUG LA MALFA,AUDREY DENNEY,REPUBLICAN,DEMOCRAT,160046,131548.0,DOUG LA MALFA,REPUBLICAN
2018,CALIFORNIA,2,JARED HUFFMAN,DALE K MENSING,DEMOCRAT,REPUBLICAN,243081,72576.0,JARED HUFFMAN,DEMOCRAT
2018,CALIFORNIA,3,JOHN GARAMENDI,CHARLIE SCHAUPP,DEMOCRAT,REPUBLICAN,134875,97376.0,JOHN GARAMENDI,DEMOCRAT
2018,CALIFORNIA,4,TOM MCCLINTOCK,JESSICA MORSE,REPUBLICAN,DEMOCRAT,184401,156253.0,TOM MCCLINTOCK,REPUBLICAN
2018,CALIFORNIA,5,MIKE THOMPSON,ANTHONY MILLS,DEMOCRAT,NO PARTY PREFERENCE,205860,55158.0,MIKE THOMPSON,DEMOCRAT
2018,CALIFORNIA,6,DORIS MATSUI,JRMAR JEFFERSON,DEMOCRAT,DEMOCRAT,162411,39528.0,DORIS MATSUI,DEMOCRAT
2018,CALIFORNIA,7,AMI BERA,ANDREW GRANT,DEMOCRAT,REPUBLICAN,155016,126601.0,AMI BERA,DEMOCRAT
2018,CALIFORNIA,8,PAUL COOK,TIM DONNELLY,REPUBLICAN,REPUBLICAN,102415,68370.0,PAUL COOK,REPUBLICAN
2018,CALIFORNIA,9,JERRY MCNERNEY,MARLA LIVENGOOD,DEMOCRAT,REPUBLICAN,113414,87349.0,JERRY MCNERNEY,DEMOCRAT
2018,CALIFORNIA,10,JOSH HARDER,JEFF DENHAM,DEMOCRAT,REPUBLICAN,115945,105955.0,JOSH HARDER,DEMOCRAT
2018,CALIFORNIA,11,MARK DESAULNIER,JOHN FITZGERALD,DEMOCRAT,REPUBLICAN,204369,71312.0,MARK DESAULNIER,DEMOCRAT
2018,CALIFORNIA,12,NANCY PELOSI,LISA REMMER,DEMOCRAT,REPUBLICAN,275292,41780.0,NANCY PELOSI,DEMOCRAT
2018,CALIFORNIA,13,BARBARA LEE,LAURA WELLS,DEMOCRAT,GREEN,260580,34257.0,BARBARA LEE,DEMOCRAT
2018,CALIFORNIA,14,JACKIE SPEIER,CRISTINA OSMENA,DEMOCRAT,REPUBLICAN,211384,55439.0,JACKIE SPEIER,DEMOCRAT
2018,CALIFORNIA,15,ERIC SWALWELL,RUDY L PETERS JR,DEMOCRAT,REPUBLICAN,177989,65940.0,ERIC SWALWELL,DEMOCRAT
2018,CALIFORNIA,16,JIM COSTA,ELIZABETH HENG,DEMOCRAT,REPUBLICAN,82266,60693.0,JIM COSTA,DEMOCRAT
