year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
2018,ARIZONA,1,TOM O'HALLERAN,WENDY ROGERS,DEMOCRAT,REPUBLICAN,143240,122784.0,TOM O'HALLERAN,DEMOCRAT,WENDY J. ROGERS,TOM O'HALLERAN,REP,DEM,39.44,36.23
2018,ARIZONA,2,ANN KIRKPATRICK,LEA MARQUEZ PETERSON,DEMOCRAT,REPUBLICAN,161000,133083.0,ANN KIRKPATRICK,DEMOCRAT,MATTHEW G. HEINZ,LEA MARQUEZ PETERSON,DEM,REP,45.0,31.0
2018,ARIZONA,4,PAUL GOSAR,DAVID BRILL,REPUBLICAN,DEMOCRAT,188842,84521.0,PAUL GOSAR,REPUBLICAN,PAUL GOSAR,DAVID BRILL,REP,DEM,57.0,25.0
2018,ARIZONA,6,DAVID SCHWEIKERT,ANITA MALIK,REPUBLICAN,DEMOCRAT,173140,140559.0,DAVID SCHWEIKERT,REPUBLICAN,DAVID SCHWEIKERT,DAVID SCHWEIKERT,REP,REP,49.97,44.83
2018,ARIZONA,8,DEBBIE LESKO,HIRAL TIPIRNENI,REPUBLICAN,DEMOCRAT,168835,135569.0,DEBBIE LESKO,REPUBLICAN,DEBBIE LESKO,HIRAL TIPIRNENI,REP,DEM,49.0,43.0
2018,ARKANSAS,1,RICK CRAWFORD,CHINTAN DESAI,REPUBLICAN,DEMOCRAT,138757,57907.0,RICK CRAWFORD,REPUBLICAN,RICK CRAWFORD,CHINTAN DESAI,REP,DEM,57.0,22.0
2018,ARKANSAS,2,FRENCH HILL,CLARKE TUCKER,REPUBLICAN,DEMOCRAT,132125,116135.0,FRENCH HILL,REPUBLICAN,FRENCH HILL,CLARKE TUCKER,REP,DEM,47.0,42.0
2018,ARKANSAS,3,STEVE WOMACK,JOSH MAHONY,REPUBLICAN,DEMOCRAT,148717,74952.0,STEVE WOMACK,REPUBLICAN,STEVE WOMACK,JOSH MAHONY,REP,DEM,53.0,31.0
2018,ARKANSAS,4,BRUCE WESTERMAN,HAYDEN CATHERINE SHAMEL,REPUBLICAN,DEMOCRAT,136740,63984.0,BRUCE WESTERMAN,REPUBLICAN,BRUCE WESTERMAN,HAYDEN SHAMEL,REP,DEM,54.0,24.0
2018,CALIFORNIA,4,TOM MCCLINTOCK,JESSICA MORSE,REPUBLICAN,DEMOCRAT,184401,156253.0,TOM MCCLINTOCK,REPUBLICAN,TOM MCCLINTOCK,JESSICA MORSE,REP,DEM,49.0,45.0
2018,CALIFORNIA,7,AMI BERA,ANDREW GRANT,DEMOCRAT,REPUBLICAN,155016,126601.0,AMI BERA,DEMOCRAT,AMI BERA,ANDREW GRANT,DEM,REP,50.0,41.0
2018,CALIFORNIA,10,JOSH HARDER,JEFF DENHAM,DEMOCRAT,REPUBLICAN,115945,105955.0,JOSH HARDER,DEMOCRAT,JOSH HARDER,JEFF DENHAM,DEM,REP,48.0,48.0
2018,CALIFORNIA,16,JIM COSTA,ELIZABETH HENG,DEMOCRAT,REPUBLICAN,82266,60693.0,JIM COSTA,DEMOCRAT,JIM COSTA,ELIZABETH HENG,DEM,REP,51.0,40.0
2018,CALIFORNIA,21,TJ COX,DAVID G VALADAO,DEMOCRAT,REPUBLICAN,57239,56377.0,TJ COX,DEMOCRAT,DAVID G. VALADAO,TJ COX,REP,DEM,50.0,39.0
2018,CALIFORNIA,22,DEVIN G NUNES,ANDREW JANZ,REPUBLICAN,DEMOCRAT,117243,105136.0,DEVIN G NUNES,REPUBLICAN,DEVIN NUNES,ANDREW JANZ,REP,DEM,49.0,41.0
2018,CALIFORNIA,24,SALUD CARBAJAL,JUSTIN FAREED,DEMOCRAT,REPUBLICAN,166550,117881.0,SALUD CARBAJAL,DEMOCRAT,SALUD CARBAJAL,JUSTIN DONALD FAREED,DEM,REP,47.0,46.0
2018,CALIFORNIA,25,KATIE HILL,STEVE KNIGHT,DEMOCRAT,REPUBLICAN,133209,111813.0,KATIE HILL,DEMOCRAT,KATIE HILL,STEPHEN KNIGHT,DEM,REP,53.0,40.0
2018,CALIFORNIA,39,GIL CISNEROS,YOUNG KIM,DEMOCRAT,REPUBLICAN,126002,118391.0,GIL CISNEROS,DEMOCRAT,YOUNG KIM,GIL CISNEROS,REP,DEM,41.0,38.0
2018,CALIFORNIA,45,KATIE PORTER,MIMI WALTERS,DEMOCRAT,REPUBLICAN,158906,146383.0,KATIE PORTER,DEMOCRAT,KATIE PORTER,MIMI WALTERS,DEM,REP,46.0,43.0
2018,CALIFORNIA,48,HARLEY ROUDA,DANA ROHRABACHER,DEMOCRAT,REPUBLICAN,157837,136899.0,HARLEY ROUDA,DEMOCRAT,DANA ROHRABACHER,HARLEY ROUDA,REP,DEM,48.0,44.0
