year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
2018,ALABAMA,1,BRADLEY BYRNE,ROBERT KENNEDY JR,REPUBLICAN,DEMOCRAT,153228.0,89226.0,BRADLEY BYRNE,REPUBLICAN,,,,,,
2018,ALABAMA,2,MARTHA ROBY,TABITHA ISNER,REPUBLICAN,DEMOCRAT,138879.0,86931.0,MARTHA ROBY,REPUBLICAN,,,,,,
2018,ALABAMA,3,MIKE ROGERS,MALLORY HAGAN,REPUBLICAN,DEMOCRAT,147770.0,83996.0,MIKE ROGERS,REPUBLICAN,,,,,,
2018,ALABAMA,4,ROBERT ADERHOLT,LEE AUMAN,REPUBLICAN,DEMOCRAT,184255.0,46492.0,ROBERT ADERHOLT,REPUBLICAN,,,,,,
2018,ALABAMA,5,MO BROOKS,PETER JOFFRION,REPUBLICAN,DEMOCRAT,159063.0,101388.0,MO BROOKS,REPUBLICAN,,,,,,
2018,ALABAMA,6,GARY PALMER,DANNER KLINE,REPUBLICAN,DEMOCRAT,192542.0,85644.0,GARY PALMER,REPUBLICAN,,,,,,
2018,ALABAMA,7,TERRI SEWELL,WRITEIN,DEMOCRAT,,185010.0,4153.0,TERRI SEWELL,DEMOCRAT,,,,,,
2018,ALASKA,0,DON YOUNG,ALYSE S GALVIN,REPUBLICAN,DEMOCRAT,149779.0,131199.0,DON YOUNG,REPUBLICAN,,,,,,
2018,ARIZONA,1,TOM O'HALLERAN,WENDY ROGERS,DEMOCRAT,REPUBLICAN,143240.0,122784.0,TOM O'HALLERAN,DEMOCRAT,TOM O'HALLERAN,TOM O'HALLERAN,DEM,DEM,47.7,46.0
2018,ARIZONA,2,ANN KIRKPATRICK,LEA MARQUEZ PETERSON,DEMOCRAT,REPUBLICAN,161000.0,133083.0,ANN KIRKPATRICK,DEMOCRAT,ANN KIRKPATRICK,ANN KIRKPATRICK,DEM,DEM,50.3,49.86
2018,ARIZONA,3,RAUL GRIJALVA,"NICOLAS ""NICK"" PIERSON",DEMOCRAT,REPUBLICAN,114650.0,64868.0,RAUL GRIJALVA,DEMOCRAT,,,,,,
2018,ARIZONA,4,PAUL GOSAR,DAVID BRILL,REPUBLICAN,DEMOCRAT,188842.0,84521.0,PAUL GOSAR,REPUBLICAN,PAUL GOSAR,DAVID BRILL,REP,DEM,57.0,25.0
2018,ARIZONA,5,ANDY BIGGS,JOAN GREENE,REPUBLICAN,DEMOCRAT,186037.0,127027.0,ANDY BIGGS,REPUBLICAN,,,,,,
2018,ARIZONA,6,DAVID SCHWEIKERT,ANITA MALIK,REPUBLICAN,DEMOCRAT,173140.0,140559.0,DAVID SCHWEIKERT,REPUBLICAN,DAVID SCHWEIKERT,DAVID SCHWEIKERT,REP,REP,49.97,44.83
2018,ARIZONA,7,RUBEN GALLEGO,GARY SWING,DEMOCRAT,GREEN,113044.0,18706.0,RUBEN GALLEGO,DEMOCRAT,,,,,,
2018,ARIZONA,8,DEBBIE LESKO,HIRAL TIPIRNENI,REPUBLICAN,DEMOCRAT,168835.0,135569.0,DEBBIE LESKO,REPUBLICAN,DEBBIE LESKO,DEBBIE LESKO,REP,REP,53.0,51.0
2018,ARIZONA,9,GREG STANTON,STEPHEN L FERRARA,DEMOCRAT,REPUBLICAN,159583.0,101662.0,GREG STANTON,DEMOCRAT,,,,,,
2018,ARKANSAS,1,RICK CRAWFORD,CHINTAN DESAI,REPUBLICAN,DEMOCRAT,138757.0,57907.0,RICK CRAWFORD,REPUBLICAN,RICK CRAWFORD,CHINTAN DESAI,REP,DEM,57.0,22.0
2018,ARKANSAS,2,FRENCH HILL,CLARKE TUCKER,REPUBLICAN,DEMOCRAT,132125.0,116135.0,FRENCH HILL,REPUBLICAN,FRENCH HILL,FRENCH HILL,REP,REP,51.5,49.5
2018,ARKANSAS,3,STEVE WOMACK,JOSH MAHONY,REPUBLICAN,DEMOCRAT,148717.0,74952.0,STEVE WOMACK,REPUBLICAN,STEVE WOMACK,JOSH MAHONY,REP,DEM,53.0,31.0
2018,ARKANSAS,4,BRUCE WESTERMAN,HAYDEN CATHERINE SHAMEL,REPUBLICAN,DEMOCRAT,136740.0,63984.0,BRUCE WESTERMAN,REPUBLICAN,BRUCE WESTERMAN,HAYDEN SHAMEL,REP,DEM,54.0,24.0
2018,CALIFORNIA,1,DOUG LA MALFA,AUDREY DENNEY,REPUBLICAN,DEMOCRAT,160046.0,131548.0,DOUG LA MALFA,REPUBLICAN,,,,,,
2018,CALIFORNIA,2,JARED HUFFMAN,DALE K MENSING,DEMOCRAT,REPUBLICAN,243081.0,72576.0,JARED HUFFMAN,DEMOCRAT,,,,,,
2018,CALIFORNIA,3,JOHN GARAMENDI,CHARLIE SCHAUPP,DEMOCRAT,REPUBLICAN,134875.0,97376.0,JOHN GARAMENDI,DEMOCRAT,,,,,,
2018,CALIFORNIA,4,TOM MCCLINTOCK,JESSICA MORSE,REPUBLICAN,DEMOCRAT,184401.0,156253.0,TOM MCCLINTOCK,REPUBLICAN,TOM MCCLINTOCK,JESSICA MORSE,REP,DEM,49.0,45.0
2018,CALIFORNIA,5,MIKE THOMPSON,ANTHONY MILLS,DEMOCRAT,NO PARTY PREFERENCE,205860.0,55158.0,MIKE THOMPSON,DEMOCRAT,,,,,,
2018,CALIFORNIA,6,DORIS MATSUI,JRMAR JEFFERSON,DEMOCRAT,DEMOCRAT,162411.0,39528.0,DORIS MATSUI,DEMOCRAT,,,,,,
2018,CALIFORNIA,7,AMI BERA,ANDREW GRANT,DEMOCRAT,REPUBLICAN,155016.0,126601.0,AMI BERA,DEMOCRAT,AMI BERA,ANDREW GRANT,DEM,REP,50.0,41.0
2018,CALIFORNIA,8,PAUL COOK,TIM DONNELLY,REPUBLICAN,REPUBLICAN,102415.0,68370.0,PAUL COOK,REPUBLICAN,,,,,,
2018,CALIFORNIA,9,JERRY MCNERNEY,MARLA LIVENGOOD,DEMOCRAT,REPUBLICAN,113414.0,87349.0,JERRY MCNERNEY,DEMOCRAT,,,,,,
2018,CALIFORNIA,10,JOSH HARDER,JEFF DENHAM,DEMOCRAT,REPUBLICAN,115945.0,105955.0,JOSH HARDER,DEMOCRAT,JOSH HARDER,JOSH HARDER,DEM,DEM,50.0,48.34
2018,CALIFORNIA,11,MARK DESAULNIER,JOHN FITZGERALD,DEMOCRAT,REPUBLICAN,204369.0,71312.0,MARK DESAULNIER,DEMOCRAT,,,,,,
2018,CALIFORNIA,12,NANCY PELOSI,LISA REMMER,DEMOCRAT,REPUBLICAN,275292.0,41780.0,NANCY PELOSI,DEMOCRAT,,,,,,
2018,CALIFORNIA,13,BARBARA LEE,LAURA WELLS,DEMOCRAT,GREEN,260580.0,34257.0,BARBARA LEE,DEMOCRAT,,,,,,
2018,CALIFORNIA,14,JACKIE SPEIER,CRISTINA OSMENA,DEMOCRAT,REPUBLICAN,211384.0,55439.0,JACKIE SPEIER,DEMOCRAT,,,,,,
2018,CALIFORNIA,15,ERIC SWALWELL,RUDY L PETERS JR,DEMOCRAT,REPUBLICAN,177989.0,65940.0,ERIC SWALWELL,DEMOCRAT,,,,,,
2018,CALIFORNIA,16,JIM COSTA,ELIZABETH HENG,DEMOCRAT,REPUBLICAN,82266.0,60693.0,JIM COSTA,DEMOCRAT,JIM COSTA,ELIZABETH HENG,DEM,REP,51.0,40.0
2018,CALIFORNIA,17,RO KHANNA,RON COHEN,DEMOCRAT,REPUBLICAN,159105.0,52057.0,RO KHANNA,DEMOCRAT,,,,,,
2018,CALIFORNIA,18,ANNA G ESHOO,CHRISTINE RUSSELL,DEMOCRAT,REPUBLICAN,225142.0,77096.0,ANNA G ESHOO,DEMOCRAT,,,,,,
2018,CALIFORNIA,19,ZOE LOFGREN,JUSTIN JAMES AGUILERA,DEMOCRAT,REPUBLICAN,162496.0,57823.0,ZOE LOFGREN,DEMOCRAT,,,,,,
2018,CALIFORNIA,20,JIMMY PANETTA,RONALD PAUL KABAT,DEMOCRAT,NO PARTY PREFERENCE,183677.0,42044.0,JIMMY PANETTA,DEMOCRAT,,,,,,
2018,CALIFORNIA,21,TJ COX,DAVID G VALADAO,DEMOCRAT,REPUBLICAN,57239.0,56377.0,TJ COX,DEMOCRAT,DAVID G. VALADAO,TJ COX,REP,DEM,50.0,39.0
