,year,state,district,c1_x,c2_x,c1_party_x,c2_party_x,c1_votes,c2_votes,winner,winner_party,c1_y,c2_y,c1_party_y,c2_party_y,c1_pct,c2_pct
0,2018,ARIZONA,1,TOM O'HALLERAN,WENDY ROGERS,DEMOCRAT,REPUBLICAN,266089,266089,TOM O'HALLERAN,DEMOCRAT,TOM O'HALLERAN,TOM O'HALLERAN,DEM,DEM,47.7,46.0
1,2018,ARIZONA,2,ANN KIRKPATRICK,LEA MARQUEZ PETERSON,DEMOCRAT,REPUBLICAN,294152,294152,ANN KIRKPATRICK,DEMOCRAT,ANN KIRKPATRICK,ANN KIRKPATRICK,DEM,DEM,50.3,49.86
2,2018,ARIZONA,4,DAVID BRILL,HARYAKSHA GREGOR KNAUER,DEMOCRAT,GREEN,277035,277035,DAVID BRILL,DEMOCRAT,PAUL GOSAR,DAVID BRILL,REP,DEM,57.0,25.0
3,2018,ARIZONA,6,ANITA MALIK,DAVID SCHWEIKERT,DEMOCRAT,REPUBLICAN,313699,313699,ANITA MALIK,DEMOCRAT,DAVID SCHWEIKERT,DAVID SCHWEIKERT,REP,REP,49.97,44.83
4,2018,ARIZONA,8,DEBBIE LESKO,HIRAL TIPIRNENI,REPUBLICAN,DEMOCRAT,304417,304417,DEBBIE LESKO,REPUBLICAN,DEBBIE LESKO,DEBBIE LESKO,REP,REP,53.0,51.0
5,2018,ARKANSAS,1,CHINTAN DESAI,ELVIS PRESLEY,DEMOCRAT,LIBERTARIAN,201245,201245,CHINTAN DESAI,DEMOCRAT,RICK CRAWFORD,CHINTAN DESAI,REP,DEM,57.0,22.0
6,2018,ARKANSAS,2,CLARKE TUCKER,FRENCH HILL,DEMOCRAT,REPUBLICAN,253453,253453,CLARKE TUCKER,DEMOCRAT,FRENCH HILL,FRENCH HILL,REP,REP,51.5,49.5
7,2018,ARKANSAS,3,JOSH MAHONY,MICHAEL J KALAGIAS,DEMOCRAT,LIBERTARIAN,229708,229708,JOSH MAHONY,DEMOCRAT,STEVE WOMACK,JOSH MAHONY,REP,DEM,53.0,31.0
8,2018,ARKANSAS,4,BRUCE WESTERMAN,HAYDEN CATHERINE SHAMEL,REPUBLICAN,DEMOCRAT,204892,204892,BRUCE WESTERMAN,REPUBLICAN,BRUCE WESTERMAN,HAYDEN SHAMEL,REP,DEM,54.0,24.0
9,2018,CALIFORNIA,4,JESSICA MORSE,TOM MCCLINTOCK,DEMOCRAT,REPUBLICAN,340654,340654,JESSICA MORSE,DEMOCRAT,TOM MCCLINTOCK,JESSICA MORSE,REP,DEM,49.0,45.0
10,2018,CALIFORNIA,7,AMI BERA,ANDREW GRANT,DEMOCRAT,REPUBLICAN,281617,281617,AMI BERA,DEMOCRAT,AMI BERA,ANDREW GRANT,DEM,REP,50.0,41.0
11,2018,CALIFORNIA,10,JEFF DENHAM,JOSH HARDER,REPUBLICAN,DEMOCRAT,221900,221900,JEFF DENHAM,REPUBLICAN,JOSH HARDER,JOSH HARDER,DEM,DEM,50.0,48.34
12,2018,CALIFORNIA,16,ELIZABETH HENG,JIM COSTA,REPUBLICAN,DEMOCRAT,142959,142959,ELIZABETH HENG,REPUBLICAN,JIM COSTA,ELIZABETH HENG,DEM,REP,51.0,40.0
13,2018,CALIFORNIA,21,DAVID G VALADAO,TJ COX,REPUBLICAN,DEMOCRAT,113616,113616,DAVID G VALADAO,REPUBLICAN,DAVID G. VALADAO,TJ COX,REP,DEM,50.0,39.0
14,2018,CALIFORNIA,22,ANDREW JANZ,DEVIN G NUNES,DEMOCRAT,REPUBLICAN,222379,222379,ANDREW JANZ,DEMOCRAT,DEVIN NUNES,DEVIN NUNES,REP,REP,55.0,53.0
15,2018,CALIFORNIA,24,JUSTIN FAREED,SALUD CARBAJAL,REPUBLICAN,DEMOCRAT,284431,284431,JUSTIN FAREED,REPUBLICAN,SALUD CARBAJAL,JUSTIN DONALD FAREED,DEM,REP,47.0,46.0
